,nrgy.x,bpm.x,bpm.y
1,23,120,
12,30,115,
23,33,91,
25,41,110,
26,43,120.5,
27,45,156,136
28,47,76,
29,48,150,
30,49,82,124
2,51,146,
3,52,90,
4,53,112,149
5,54,130,81
6,55,121.3333333,119
7,57,112.6666667,91.5
8,59,107.5,140.3333333
9,60,117,143.3333333
10,63,129,
11,67,111,
13,69,90,
14,72,108.2,145
15,73,149.8,
16,75,142,123
17,76,120,104
18,77,108.3333333,150
19,79,124,145
20,82,95,
21,83,96,160
22,84,147,
24,86,123,
24,40,,150
24,36,,124
24,50,,140
24,56,,127
24,58,,94
24,61,,142
24,62,,97
24,64,,140.25
24,65,,114.8
24,66,,82
24,67,,151
24,68,,131
24,71,,147
24,77,,150
24,81,,100
24,87,,99
24,89,,113