sel,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Wants and Needs (feat. Lil Baby),Drake,canadian hip hop,2021,2021‑12‑13,136,45,58,-6,12,10,193,6,29,86
2,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,brooklyn drill,2020,2021‑12‑13,126,59,82,-7,19,35,190,11,20,85
3,RAPSTAR,Polo G,chicago rap,2021,2021‑12‑13,81,54,79,-7,13,44,166,41,24,85
4,The Box,Roddy Ricch,melodic rap,2019,2021‑12‑13,117,59,90,-7,79,64,197,10,6,85
5,20 Min,Lil Uzi Vert,melodic rap,2017,2021‑12‑13,123,75,77,-4,17,78,221,11,12,85
6,my ex's best friend (with blackbear),Machine Gun Kelly,ohio hip hop,2020,2021‑12‑13,125,68,73,-5,14,30,139,0,4,84
7,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,brooklyn drill,2020,2021‑12‑13,131,65,91,-5,28,37,191,2,11,83
8,Go Crazy,Chris Brown,dance pop,2020,2021‑12‑13,94,58,76,-9,25,58,177,32,14,82
9,Ransom,Lil Tecca,melodic rap,2019,2021‑12‑13,180,64,75,-6,7,23,131,2,29,82
10,Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2021‑12‑13,168,64,77,-7,7,26,167,15,47,82
11,MIDDLE CHILD,J. Cole,conscious hip hop,2019,2021‑12‑13,124,36,84,-12,27,46,214,15,28,82
12,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Tory Lanez,canadian hip hop,2020,2021‑12‑13,145,72,90,-5,19,84,227,6,26,81
13,GIRL LIKE ME,Black Eyed Peas,dance pop,2020,2021‑12‑13,124,49,97,-9,7,31,223,2,19,81
14,Memory,Kane Brown,black americana,2021,2021‑12‑13,113,89,43,-6,27,85,153,40,5,80
15,Got It On Me,Pop Smoke,brooklyn drill,2020,2021‑12‑13,89,65,69,-7,10,20,165,1,19,79
16,Already Best Friends (feat. Chris Brown),Jack Harlow,deep underground hip hop,2020,2021‑12‑13,103,57,87,-7,11,87,197,9,7,77
17,NEVER LEFT,Lil Tecca,melodic rap,2021,2021‑12‑13,82,66,81,-7,31,44,169,2,33,77
18,Whoopty,CJ,nyc rap,2021,2021‑12‑13,140,65,72,-8,13,66,123,20,13,76
19,Sanguine Paradise,Lil Uzi Vert,melodic rap,2019,2021‑12‑13,135,60,73,-7,11,21,244,9,7,76
20,Hot (feat. Gunna),Young Thug,atl hip hop,2019,2021‑12‑13,112,65,86,-8,8,56,193,6,24,75
21,Sold Out Dates (feat. Lil Baby),Gunna,atl hip hop,2018,2021‑12‑13,127,56,82,-7,13,31,166,47,14,75
22,Leaked,Lil Tjay,brooklyn drill,2019,2021‑12‑13,97,62,51,-8,8,32,220,80,28,74
23,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,indie pop rap,2020,2021‑12‑13,104,76,80,-5,9,28,213,1,5,74
24,Hold On,Lil Tjay,brooklyn drill,2019,2021‑12‑13,152,60,69,-7,6,69,189,12,21,73
25,Real As It Gets (feat. EST Gee),Lil Baby,atl hip hop,2021,2021‑12‑13,140,71,78,-6,10,20,193,0,16,73
26,Out Of Love (feat. Internet Money),Lil Tecca,melodic rap,2020,2021‑12‑13,138,64,73,-6,24,36,154,8,5,73
27,Overdue (with Travis Scott),Metro Boomin,hip hop,2018,2021‑12‑13,150,40,64,-11,33,50,166,73,4,73
28,Uproar,Lil Wayne,hip hop,2018,2021‑12‑13,99,87,74,-2,30,88,194,6,21,71
29,Project Dreams,Marshmello,brostep,2019,2021‑12‑13,160,83,78,-2,10,79,168,41,24,71
30,Woah,Lil Baby,atl hip hop,2019,2021‑12‑13,143,60,88,-6,18,43,183,2,25,70
31,New Patek,Lil Uzi Vert,melodic rap,2018,2021‑12‑13,145,79,85,-5,16,72,343,4,35,70
32,223's (feat. 9lokknine),YNW Melly,melodic rap,2019,2021‑12‑13,95,55,93,-8,9,70,177,4,33,70
33,Magic,Lil Skies,melodic rap,2019,2021‑12‑13,154,71,65,-6,11,58,182,26,14,70
34,Outside Today,YoungBoy Never Broke Again,baton rouge rap,2018,2021‑12‑13,134,67,85,-5,11,6,129,14,7,69
35,Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug,atl hip hop,2018,2021‑12‑13,140,50,94,-10,8,46,202,0,14,68
36,Smile (with The Weeknd),Juice WRLD,chicago rap,2020,2021‑12‑13,159,67,69,-7,14,27,196,23,13,67
37,molly,iann dior,melodic rap,2019,2021‑12‑13,80,57,70,-7,17,39,176,0,12,67
38,None of Your Love - Bonus,Lil Tjay,brooklyn drill,2021,2021‑12‑13,138,72,70,-6,30,51,153,2,16,67
39,Two®,Lil Uzi Vert,melodic rap,2017,2021‑12‑13,75,64,27,-5,9,4,185,42,7,66
40,SideLine Watching (Hold Up),Lil Uzi Vert,melodic rap,2016,2021‑12‑13,142,55,75,-7,12,26,191,28,12,65
41,Only The Team (with Lil Mosey & Lil Tjay),Rvssian,latin,2020,2021‑12‑13,150,77,76,-3,11,60,169,2,20,65
42,SEASIDE (feat. iann dior),Lil Tecca,melodic rap,2021,2021‑12‑13,165,67,69,-8,9,65,132,3,29,64
43,Goat,Lil Tjay,brooklyn drill,2019,2021‑12‑13,137,68,84,-7,36,47,242,12,24,64
44,VALENTINO,24kGoldn,cali rap,2019,2021‑12‑13,151,72,74,-5,13,55,179,20,18,62
45,Molly Girl,Lil Tecca,melodic rap,2019,2021‑12‑13,178,59,57,-7,12,26,117,0,21,60
46,Count Me Out,Lil Tecca,melodic rap,2019,2021‑12‑13,102,65,84,-7,12,69,174,41,29,60
47,Aim For The Moon (feat. Quavo),Pop Smoke,brooklyn drill,2020,2021‑12‑13,142,61,71,-7,12,43,176,50,11,60
48,Handsome And Wealthy,Migos,atl hip hop,2014,2021‑12‑13,146,67,86,-3,9,24,211,0,10,59
49,Memory - GOLDHOUSE x Mokita Remix,Kane Brown,black americana,2021,2021‑12‑13,100,81,62,-8,13,49,178,12,6,59
50,NO WORRIES,Paycheck,sad rap,2018,2021‑12‑13,149,53,79,-8,78,82,187,22,15,51