,Titile,Artist,top genre,Top Genre2,Year,BPM,Energy,Danceability,Loudness dB,Valence,Duration (sec),Acousticness,Speechiness,Popularity
217,Dark Horse,Katy Perry,dance pop,Dance Pop,2014,132,59,65,-6,35,216,0,5,78
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,Dance Pop,2011,126,89,65,-4,32,232,3,5,63
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,Dance Pop,2013,125,68,66,-7,25,252,25,4,70
86,We Found Love,Rihanna,barbadian pop,Barbadian Pop,2011,128,77,73,-4,60,215,3,4,61
110,I Knew You Were Trouble.,Taylor Swift,pop,Pop,2012,77,47,62,-7,68,220,0,4,77
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,Dance Pop,2014,82,62,70,-7,72,193,8,25,67
235,Young Girls,Bruno Mars,pop,Pop,2014,126,75,56,-5,50,229,46,3,67
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,Complextro,2014,128,74,60,-3,46,217,11,4,64
97,Turning Page,Sleeping At Last,acoustic pop,Acoustic Pop,2011,125,38,30,-8,19,255,91,3,46
549,First Time,Kygo,edm,Edm,2018,90,59,63,-7,68,194,20,11,71
369,Into You,Ariana Grande,dance pop,Dance Pop,2016,108,73,62,-6,37,244,2,11,80
182,Rock N Roll,Avril Lavigne,canadian pop,Canadian Pop,2013,184,96,47,-3,67,207,1,13,61
455,Malibu,Miley Cyrus,dance pop,Dance Pop,2017,140,78,57,-6,34,232,8,6,78
420,Desire,Years & Years,dance pop,Dance Pop,2016,126,78,71,-5,64,203,30,6,58
511,I Like It,Cardi B,pop,Pop,2018,136,73,82,-4,65,253,10,13,85
586,Sucker,Jonas Brothers,boy band,Boy Band,2019,138,73,84,-5,95,181,4,6,86
441,Picky - Remix,Joey Montana,latin,Latin,2016,186,81,70,-3,69,225,9,7,29
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,Hip Pop,2014,110,54,64,-9,53,230,10,11,30
550,End Game,Taylor Swift,pop,Pop,2018,159,59,65,-6,15,245,1,6,70
393,Close,Nick Jonas,dance pop,Dance Pop,2016,124,62,65,-5,40,234,25,8,72
237,Love Runs Out,OneRepublic,dance pop,Dance Pop,2014,120,93,72,-4,74,225,17,6,66
286,How Deep Is Your Love,Calvin Harris,dance pop,Dance Pop,2015,122,87,74,-4,34,213,4,7,77
516,In My Blood,Shawn Mendes,canadian pop,Canadian Pop,2018,140,71,62,-7,49,211,6,7,83
218,Hey Brother,Avicii,big room,Big Room,2014,125,78,55,-5,46,255,3,4,78
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,Dance Pop,2018,124,86,79,-3,59,215,4,11,86
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,Dance Pop,2013,77,60,58,-6,65,277,14,5,60
290,Blame,Calvin Harris,dance pop,Dance Pop,2015,128,86,41,-4,35,213,3,8,76
451,Mercy,Shawn Mendes,canadian pop,Canadian Pop,2017,148,66,56,-5,36,209,13,8,81
378,Work,Rihanna,barbadian pop,Barbadian Pop,2016,92,53,73,-6,56,219,8,9,78
238,This Is How We Do,Katy Perry,dance pop,Dance Pop,2014,96,64,69,-6,80,204,2,5,66
584,Only Human,Jonas Brothers,boy band,Boy Band,2019,94,50,80,-6,87,183,11,7,87
208,Foolish Games,Jewel,alaska indie,Alaska Indie,2013,132,34,51,-11,7,250,23,3,36
346,Bloodstream,Ed Sheeran,pop,Pop,2015,89,59,48,-6,27,309,20,5,52
421,When We Were Young,Adele,british soul,British Soul,2016,144,59,38,-6,27,291,35,5,58
74,Yeah 3x,Chris Brown,dance pop,Dance Pop,2011,130,88,71,-3,70,242,0,4,69
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,Canadian Pop,2016,114,77,68,-5,72,224,11,10,57
396,Final Song,MØ,dance pop,Dance Pop,2016,105,67,70,-6,25,236,1,3,72
116,Try,P!nk,dance pop,Dance Pop,2012,104,63,67,-7,55,248,0,3,74
105,Titanium (feat. Sia),David Guetta,dance pop,Dance Pop,2012,126,79,60,-4,30,245,7,10,80
288,Love Me Harder,Ariana Grande,dance pop,Dance Pop,2015,99,71,47,-4,24,236,1,3,76
473,Reggaetón Lento (Remix),CNCO,boy band,Boy Band,2017,94,91,53,-3,62,189,15,9,71
485,OK - Spotify Version,Robin Schulz,dance pop,Dance Pop,2017,122,81,65,-6,58,189,12,6,69
27,Naturally,Selena Gomez & The Scene,dance pop,Dance Pop,2010,133,90,61,-5,88,203,2,5,64
180,Move,Little Mix,dance pop,Dance Pop,2013,121,74,85,-5,77,224,0,9,63
327,Love Me Like You,Little Mix,dance pop,Dance Pop,2015,106,67,79,-4,85,198,21,4,65
508,A L I E N S,Coldplay,permanent wave,Permanent Wave,2017,148,88,43,-5,25,282,0,4,41
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,Dance Pop,2018,94,69,73,-4,42,221,2,5,64
395,All We Know,The Chainsmokers,electropop,Electropop,2016,90,59,66,-9,30,194,10,3,72
17,Eenie Meenie,Sean Kingston,dance pop,Dance Pop,2010,121,61,72,-4,83,202,5,3,71
486,Bon appétit,Katy Perry,dance pop,Dance Pop,2017,106,79,80,-6,52,228,13,6,68
585,Beautiful People (feat. Khalid),Ed Sheeran,pop,Pop,2019,93,65,64,-8,55,198,12,19,86
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,Colombian Pop,2014,138,81,69,-4,82,207,12,7,62
26,Animal,Neon Trees,indie pop,Indie Pop,2010,148,83,48,-6,74,212,0,4,65
495,Touch (feat. Kid Ink),Little Mix,dance pop,Dance Pop,2017,102,75,64,-4,53,203,4,11,59
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,Dance Pop,2010,138,89,68,-4,83,192,1,8,62
192,We Own The Night,The Wanted,boy band,Boy Band,2013,104,94,55,-4,56,206,1,13,56
320,The Feeling,Justin Bieber,canadian pop,Canadian Pop,2015,127,81,53,-6,21,245,8,6,67
313,I Want You To Know,Zedd,complextro,Complextro,2015,130,85,58,-3,37,240,1,6,68
356,Sparks,Hilary Duff,dance pop,Dance Pop,2015,122,88,85,-5,79,186,4,6,44
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,Candy Pop,2014,92,81,68,-4,64,169,7,6,50
353,St Jude,Florence + The Machine,art pop,Art Pop,2015,117,43,26,-11,9,225,75,3,47
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,Dance Pop,2014,100,65,76,-7,76,178,3,23,68
172,The Way,Ariana Grande,dance pop,Dance Pop,2013,82,88,65,-3,86,227,29,11,68
71,Just Can’t Get Enough,The Black Eyed Peas,dance pop,Dance Pop,2011,94,63,66,-9,26,219,19,18,71
146,We Can't Stop,Miley Cyrus,dance pop,Dance Pop,2013,80,62,61,-6,48,231,1,3,78
219,Maps,Maroon 5,pop,Pop,2014,120,71,74,-6,88,190,2,3,78
31,3,Britney Spears,dance pop,Dance Pop,2010,135,71,70,-2,79,213,5,5,62
134,Diamonds,Rihanna,barbadian pop,Barbadian Pop,2012,92,71,56,-5,39,225,0,5,61
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,Permanent Wave,2013,136,45,28,-8,11,236,63,3,55
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,Hip Pop,2013,93,81,55,-6,34,271,9,31,59
55,Just the Way You Are,Bruno Mars,pop,Pop,2011,109,84,64,-5,43,221,2,4,78
2,Love The Way You Lie,Eminem,detroit hip hop,Detroit Hip Hop,2010,87,93,75,-5,64,263,24,23,82
254,XO,Beyoncé,dance pop,Dance Pop,2014,170,79,47,-9,21,216,17,26,56
317,I Lived,OneRepublic,dance pop,Dance Pop,2015,120,85,59,-5,34,235,7,4,67
118,One More Night,Maroon 5,pop,Pop,2012,93,82,72,-3,62,220,6,3,73
440,BURNITUP!,Janet Jackson,dance pop,Dance Pop,2016,123,71,83,-7,83,250,5,18,31
275,Sugar,Maroon 5,pop,Pop,2015,120,79,75,-7,88,235,6,3,81
580,Happier,Marshmello,brostep,Brostep,2019,100,79,69,-3,67,214,19,5,90
414,Cheap Thrills,Sia,australian dance,Australian Dance,2016,90,80,59,-5,73,225,6,22,64
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,Dance Pop,2018,104,79,63,-4,41,220,5,6,67
199,Pom Poms,Jonas Brothers,boy band,Boy Band,2013,148,98,68,-2,90,198,7,9,52
452,Side To Side,Ariana Grande,dance pop,Dance Pop,2017,159,74,65,-6,61,226,5,23,80
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,French Indie Pop,2015,123,89,76,-5,78,189,2,3,58
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,Dance Pop,2017,100,82,70,-5,67,218,49,22,59
594,Call You Mine,The Chainsmokers,electropop,Electropop,2019,104,70,59,-6,52,218,20,3,81
379,Stitches,Shawn Mendes,canadian pop,Canadian Pop,2016,150,75,75,-7,76,207,2,7,78
406,Perfect Illusion,Lady Gaga,dance pop,Dance Pop,2016,125,86,61,-5,66,182,0,4,67
4,Bad Romance,Lady Gaga,dance pop,Dance Pop,2010,119,92,70,-4,71,295,0,4,79
185,Next To Me,Emeli Sandé,dance pop,Dance Pop,2013,95,80,67,-5,35,197,9,4,60
569,Boom Boom,RedOne,moroccan pop,Moroccan Pop,2018,110,76,75,-8,58,248,0,5,53
541,Anywhere,Rita Ora,dance pop,Dance Pop,2018,107,80,63,-4,32,215,4,6,74
418,Send My Love (To Your New Lover),Adele,british soul,British Soul,2016,164,52,69,-8,56,223,4,10,61
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,Dance Pop,2010,91,95,64,-4,57,220,6,7,52
503,Remember I Told You,Nick Jonas,dance pop,Dance Pop,2017,113,53,68,-6,84,202,14,28,53
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,Canadian Pop,2015,125,36,77,-11,76,204,79,4,64
21,Meet Me Halfway,The Black Eyed Peas,dance pop,Dance Pop,2010,130,63,80,-7,40,284,0,7,68
62,What the Hell,Avril Lavigne,canadian pop,Canadian Pop,2011,150,93,58,-4,88,221,0,5,74
195,Take Back the Night,Justin Timberlake,dance pop,Dance Pop,2013,107,66,59,-5,33,353,4,16,54
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,Dance Pop,2012,127,96,72,-4,95,206,1,9,59
20,Your Love Is My Drug,Kesha,dance pop,Dance Pop,2010,120,61,83,-4,76,187,1,10,69