"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","Activities","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","TasteDislike","FavoriteNumberFrom1to5","FollowSport","FavoriteTeam","TriedFood","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay"
1687,"Eggplant","Blue and black","Yes, occasionally","Pig","Chocolate","Right-handed","Not 100% sure","Ice skate","Cooler",52,"Jennifer Aniston","Yes","iPhone","Tomatoes",1,"American Football","","Durian","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday"
4766,"Steak","Blue and black","I'm not sure what things you mean","Zebra","Vanilla","Right-handed","Not 100% sure","Drive a stick shift, Ice skate","Cooler",78,"Tom Hanks","No","iPhone","Tomatoes",5,"","Soccer","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
9599,"Sweet Potatoes","White and gold","Yes, occasionally","Tiger","Chocolate","Ambidextrous","Yes, I believe so","Solve a Rubik's cube","Cooler",28,"Denzel Washington","Yes","iPhone","",5,"American Football, Soccer, Basketball","Seleccion Nacional De Mexico","","No","No","Odd","Tuesday"
6909,"pickles","I don't remember","Yes, occasionally","panda","Chocolate","mostly right-handed, but left-handed with very specific things","Yes, I believe so","Solve a Rubik's cube, Ice skate, Ski","Warmer",24,"Gong Yoo","No","","Cilantro, Tomatoes",4,"Soccer","","","No","No","Odd","Thursday"
7095,"Sushi","Blue and black","No","cat","Vanilla","Right-handed","A what?","Solve a Rubik's cube, Ice skate","Cooler",50,"Robert Downey Jr.","Yes","Android","Eggs, Tomatoes",2,"","","Aligator","No","No","Even","Tuesday"
6095,"Chocolate","White and gold","I'm not sure what things you mean","Frog","Vanilla","Right-handed","Not 100% sure","","Cooler",26,"Chris Pratt","Yes","iPhone","Eggs, Chocolate Ice-cream",4,"","","","Yes, most of them","No","Odd","Tuesday"
4907,"Lobster","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Yes, I believe so","","Warmer",99,"Leo Dicaprio","Yes","iPhone","",5,"American Football, Basketball, Cricket","Green Bay Packers","","Yes, most of them","No","Odd","Tuesday"
6161,"Hot dogs ","White and gold","No","Bison","Chocolate","Right-handed","Yes, and I have","Drive a stick shift, Ice skate, Ski, Juggle","Cooler",42,"John Wayne","Yes","iPhone","",4,"American Football, Soccer, Basketball","Dallas Cowboys","Frog legs, Aligator, Durian","Yes, one or two","No, but I'm totally doing that now","Even","Tuesday"
3919,"meatballs","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Drive a stick shift, Ice skate, Ski","Cooler",57,"Tom Cruise","Yes","iPhone","Cilantro",2,"American Football, Basketball","Seahawks","","Yes, one or two","No","Odd","Thursday"
7469,"steak","Blue and black","Yes, occasionally","cow","Vanilla","Right-handed","Not 100% sure","Drive a stick shift","Warmer",88,"Daniel Craig","No","iPhone","Eggs, Tomatoes, Yogurt",5,"Soccer, Cricket","","Thousand-year-old eggs","Yes, most of them","No, but I'm totally doing that now","Even","Thursday"
3708,"Tacos","I don't remember","Yes, occasionally","Tiger","Chocolate","Ambidextrous","Yes, I believe so","Drive a stick shift, Ice skate, Ski","Warmer",76,"Johnny Sins","No","iPhone","",2,"Soccer","FC Barcelona","","No","No","Even","Thursday"
1489,"Pasta","What dress?","I'm not sure what things you mean","Dog","Chocolate","Right-handed","Yes, I believe so","Ice skate","Warmer",10,"Robert Downey Jr.","No","iPhone","",5,"Soccer, Cricket","US Women's soccer team, Argentina Men's National Soccer Team","","Yes, most of them","No","Odd","Tuesday"
4954,"Pasta","What dress?","Yes, occasionally","Lion","Chocolate","Right-handed","A what?","Walk on stilts","Cooler",90,"Brad Pitt","Yes","iPhone","Cilantro",3,"Soccer, Cricket","Real Madrid","","Yes, most of them","No","Odd","Thursday"
7506,"cake","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Yes, I believe so","Solve a Rubik's cube, Juggle","Cooler",9,"Robert Downey Jr.","Yes","Android","",3,"American Football, Soccer","The Eagles","Snails","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
6608,"coriander","Blue and black","Yes, occasionally","dog","Vanilla","Right-handed","A what?","Ski","Warmer",72,"Dwayne Johnson","Yes","iPhone","Chocolate Ice-cream, Carbonated drinks, Cilantro",1,"Basketball","","Thousand-year-old eggs","No","No","Even","Thursday"
6561,"Grapes","White and gold","Yes, occasionally","Tiger","Vanilla","Right-handed","Yes, I believe so","","Warmer",27,"Emma Watson","Yes","iPhone","Chocolate Ice-cream",3,"","","","Yes, one or two","No","Odd","Thursday"
9832,"hamburgers","What dress?","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball, Solve a Rubik's cube, Ski","Warmer",99,"Brad Pitt","Yes","Android","Carbonated drinks",1,"Basketball, Cricket","India, Golden State Warriors, LA Lakers","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
4052,"Sushi","I don't remember","Yes, occasionally","Lion","Chocolate","Right-handed","Not 100% sure","","Cooler",11,"Adam Sandler","No","iPhone","",4,"American Football, Soccer, Basketball, Baseball","New York Mets","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
8758,"none","Blue and black","Yes, occasionally","cat","Chocolate","Right-handed","Not 100% sure","Dunk a basketball, Ride a horse, Solve a Rubik's cube","Warmer",43,"brad pitt","Yes","iPhone","",5,"Basketball","Laker","Frog legs, Durian","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
2556,"Blue Cheese","Blue and black","I'm not sure what things you mean","Duck","Chocolate","Right-handed","Yes, and I have","Drive a stick shift","Cooler",8,"Brad Pitt","Yes","iPhone","Carbonated drinks, Cilantro",4,"American Football, Basketball, Baseball","Thunder","Aligator","Yes, one or two","No","Even","Tuesday"
3492,"CheezWiz Hotdog in a Twinkie ","Blue and black","Yes, occasionally","19-Legged Spider Monkey that which can Spit Magma and Cast Lightning Spells","Chocolate","Right-handed","Yes, and I have","Ski","Warmer",100,"Christian Bale","Yes","Android","",1,"","","Snails, Frog legs, Aligator, Durian","Yes, one or two","No, but I'm totally doing that now","Odd","Tuesday"
754,"hot dogs","Blue and black","Yes, occasionally","giraffe","Chocolate","Right-handed","Not 100% sure","Ride a horse, Walk on stilts","Cooler",32,"Brad Pitt","No","iPhone","",5,"Baseball","","Frog legs","Yes, one or two","No","Odd","Thursday"
6683,"Pizza","Blue and black","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Yes, I believe so","","Cooler",54,"Margot Robbie","Yes","iPhone","Eggs, Tomatoes",4,"American Football, Soccer","","Aligator","Yes, one or two","No","Even","Tuesday"
7812,"Reese’s cups","Blue and black","Yes, occasionally","Dog","Chocolate","Left-handed","Yes, and I have","Dunk a basketball, Ride a horse, Drive a stick shift, Ice skate, Ski, Juggle","Cooler",5,"Brad Pitt","Yes","iPhone","",5,"American Football, Soccer, Basketball, Baseball","Philadelphia Eagles","Snails, Aligator","No","No","Even","Thursday"
1857,"Pizza","White and gold","I'm not sure what things you mean","Panda","Chocolate","Right-handed","Yes, I believe so","","Cooler",4,"Dakota Johnson","Yes","Android","Carbonated drinks, Coffee, Yogurt",4,"American Football, Soccer, Basketball, Baseball","Chicago Cubs","","No","No","Odd","Tuesday"
6764,"Boba Tea","Blue and black","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","Ice skate","Cooler",29,"Chris Pratt","No","iPhone","Carbonated drinks",5,"Basketball","Atlanta Hawks","","No","No","Odd","Thursday"
824,"Fish and other seafood in general","A color combination not listed here","Yes, occasionally","dog","Vanilla","Right-handed","Not 100% sure","Ski","Cooler",7,"Chris Hemsworth","No","iPhone","",5,"","","Durian","Yes, most of them","No","Even","Thursday"
9732,"eggs","Blue and black","Yes, constantly","rat","Chocolate","Left-handed","Yes, I believe so","Ice skate","Cooler",33,"Leonardo decaprio","Yes","iPhone","Eggs, Tomatoes",3,"","","","Yes, one or two","No","Odd","Tuesday"
2612,"Raw Tomatoes","I don't remember","Yes, constantly","Tiger","Vanilla","Right-handed","Yes, I believe so","","Warmer",83,"Zendaya","Yes","","",4,"","","Snails","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
1794,"Chocolate","White and gold","I'm not sure what things you mean","Tiger","Vanilla","Ambidextrous","Yes, and I have","Drive a stick shift","Cooler",51,"Steve Harvey","Yes","iPhone","Coffee",4,"American Football, Soccer, Basketball, Baseball","","Frog legs","Yes, one or two","No","Odd","Tuesday"
3447,"Yogurt","White and gold","Yes, constantly","Horse","Chocolate","Right-handed","Yes, and I have","Dunk a basketball, Ride a horse, Solve a Rubik's cube, Ski","Warmer",4,"Margot Robbie","What?","Other smartphone","Yogurt",4,"Soccer","","","No","No",NA,NA
1405,"Pizza","Blue and black","No","Dog","Chocolate","Ambidextrous","Not 100% sure","","Cooler",50,"Dwayne Johnson","Yes","iPhone","Coffee",5,"Soccer","Inter Milan","Snails","Yes, one or two","No","Odd","Tuesday"
6054,"Pancakes","Blue and black","Yes, occasionally","Lion","Chocolate","Right-handed","Yes, and I have","Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate","Cooler",47,"Jackie Chan","Yes","Android","",1,"Soccer, Cricket","","Durian","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
2127,"Pies","What dress?","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","Ride a horse, Ice skate","Cooler",50,"Daniel Radcliffe","No","iPhone","Carbonated drinks",3,"","","","No","No","Even","Thursday"
6870,"Bacon","White and gold","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube, Ice skate","Cooler",11,"Leonardo DiCaprio","No","iPhone","Eggs",1,"American Football, Basketball","Arizona Cardinals","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
164,"Pineapple pizza","Blue and black","Yes, occasionally","Turtle","Chocolate","Ambidextrous","Not 100% sure","Ride a horse, Ice skate, Ski, Juggle","Cooler",17,"Jim Carrey ","Yes","iPhone","Cilantro",4,"Basketball","Trail Blazers ","Frog legs, Aligator, Thousand-year-old eggs","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
9410,"fish","White and gold","Yes, occasionally","Lion","Vanilla","Right-handed","Yes, and I have","Ice skate, Ski","Cooler",96,"Scarlet Johansen","Yes","iPhone","",4,"American Football, Basketball, Baseball","Mets Nets Giants Rangers","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
9349,"Dim sum","Blue and black","Yes, occasionally","Seals","Vanilla","Right-handed","Yes, I believe so","","Warmer",42,"Shia Labeouf","Yes","iPhone","Tomatoes",4,"","","Thousand-year-old eggs","Yes, one or two","No","Odd","Thursday"
5639,"chips","White and gold","Yes, occasionally","elephant","Chocolate","Right-handed","Not 100% sure","Drive a stick shift, Ice skate, Ski","Cooler",69,"Toby Mcguire","Yes","iPhone","Cilantro",1,"Basketball","Knicks","Snails, Aligator, Durian, Thousand-year-old eggs","No","No","Even","Thursday"
7802,"Bacon","White and gold","No","Koala Bear ","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube, Juggle","Cooler",57,"Leonardo DiCaprio","Yes","iPhone","Cilantro, Tomatoes",1,"American Football, Basketball, Baseball","New York Giants","","Yes, most of them","No","Even","Thursday"
3961,"Cheeseburger","Blue and black","I'm not sure what things you mean","Cat","Vanilla","Right-handed","Yes, I believe so","Ride a horse","Warmer",22,"Leo Decaprio","No","iPhone","Yogurt",2,"Baseball","Mets","Snails, Aligator","Yes, one or two","No","Odd","Tuesday"
3238,"I do not like mac n cheese","White and gold","Yes, constantly","Dog","Vanilla","Ambidextrous","Not 100% sure","Drive a stick shift, Ski","Cooler",21,"Nicolas Cage ","Yes","iPhone","",5,"American Football","","Frog legs","Yes, one or two","Yes","Even","Thursday"
9238,"Pancakes","Blue and black","Yes, occasionally","Lion","Chocolate","Right-handed","Yes, and I have","Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate","Cooler",47,"Jackie Chan","Yes","Android","",1,"Soccer, Cricket","","Durian","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
2861,"anything seafood","White and gold","Yes, occasionally","dolphin","Chocolate","Right-handed","Yes, I believe so","Drive a stick shift, Ice skate","Warmer",33,"Tom Holland","No","iPhone","Eggs",3,"American Football, Basketball","New York Knicks","","Yes, one or two","No","Even","Thursday"
5502,"Eggs","White and gold","Yes, constantly","Grizzly Bear","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball","Cooler",100.01,"Leonardo DiCaprio","No","Android","Eggs",3,"Basketball","Dallas Mavericks ","","Yes, most of them","No","Even","Thursday"
935,"Eggs","Blue and black","Yes, occasionally","Tiger","Vanilla","Right-handed","Not 100% sure","Dunk a basketball, Juggle","Warmer",50,"Robert Downey Jr","No","iPhone","Eggs, Chocolate Ice-cream, Tomatoes, Yogurt",4,"American Football, Basketball","Miami Heat","Snails","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
6894,"sushi","Blue and black","Yes, constantly","dog","Chocolate","Right-handed","Yes, I believe so","Solve a Rubik's cube","Warmer",66,"Jennifer Aniston","Yes","iPhone","Eggs",2,"Cricket","n/a","","Yes, most of them","No","Even","Tuesday"
2169,"Chicken nuggets","What dress?","Yes, occasionally","Elephant ","Vanilla","Right-handed","Yes, I believe so","Ride a horse, Ice skate, Ski, Juggle","Warmer",11,"Rachel McAdams ","Yes","iPhone","Carbonated drinks, Tomatoes",2,"American Football, Basketball","","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
4410,"Noodles","What dress?","I'm not sure what things you mean","Lion","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball, Drive a stick shift, Ice skate","Warmer",26,"Tom Cruise","No","iPhone","Eggs, Cilantro, Coffee, Yogurt",1,"Cricket","","Durian","Yes, most of them","No","Even","Tuesday"
5848,"Candy corn","Blue and black","Yes, occasionally","Octopus","Vanilla","Left-handed","Yes, and I have","Ice skate, Ski","Cooler",8,"Ewan McGregor","Yes","iPhone","",2,"American Football, Basketball, Baseball","Cleveland Cavaliers","Snails, Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
2113,"bubble tea","What dress?","Yes, occasionally","Lion","Chocolate","Right-handed","Not 100% sure","Ice skate","Cooler",80,"Robert","No","Android","Cilantro, Tomatoes",1,"Soccer, Cricket","","","Yes, one or two","No",NA,NA
4586,"taco","A color combination not listed here","Yes, occasionally","cat","Chocolate","Right-handed","Not 100% sure","Ice skate, Ski","Cooler",42,"Gary Cooper","No","iPhone","Cilantro",4,"Basketball","","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
5709,"Avocado","White and gold","Yes, occasionally","Fish","Vanilla","Right-handed","Yes, I believe so","","Cooler",37,"Robert Downey Jr.","Yes","iPhone","",2,"","C9","Natto","No","No","Odd","Tuesday"
8249,"Sushi","White and gold","I'm not sure what things you mean","Lion","Chocolate","Right-handed","Not 100% sure","Solve a Rubik's cube","Cooler",99,"Will Smith","No","iPhone","Eggs",2,"Basketball, Cricket","Houston Rockets","","Yes, most of them","No","Even","Tuesday"
2621,"Mayo","White and gold","Yes, occasionally","Panda","Chocolate","Right-handed","Not 100% sure","Ice skate, Ski","Cooler",72,"Bryan Cranston","No","iPhone","Tomatoes, Yogurt",3,"Baseball","Rutgers ","","No","No","Odd","Thursday"
6329,"Anything with shrimp or spice","White and gold","I'm not sure what things you mean","Zebra","Chocolate","Right-handed","Not 100% sure","","Cooler",23,"Ben Affleck","Yes","iPhone","Tomatoes",4,"","","","Yes, most of them","No","Odd","Tuesday"
1196,"Oysters","Blue and black","Yes, occasionally","Cat","Vanilla","Right-handed","Not 100% sure","Dunk a basketball, Ski","Cooler",7.27,"Lebron James","Yes","Android","Tomatoes",3,"Basketball","","Snails, Frog legs, Natto, Durian, Thousand-year-old eggs","No","No","Even","Thursday"
9461,"Pickles","I don't remember","I'm not sure what things you mean","Dog","Chocolate","Left-handed","Yes, and I have","Solve a Rubik's cube, Ice skate, Ski","Warmer",67,"Chris Pratt","No","iPhone","Tomatoes",4,"Soccer","Real Madrid","","Yes, one or two","No","Odd","Tuesday"
4942,"Peanut Butter and Jelly","White and gold","Yes, constantly","Dolphin","Vanilla","Right-handed","Yes, I believe so","Ice skate","Warmer",79,"Michael Cera","Yes","iPhone","Eggs, Chocolate Ice-cream, Tomatoes",5,"","","","No","No","Even","Thursday"
9390,"Shwarma","White and gold","Yes, constantly","Llama","Chocolate","Left-handed","Yes, and I have","Ride a horse, Solve a Rubik's cube, Juggle, Unicycle","Warmer",7,"Arnold Schwarzenneger ","Yes","iPhone","Eggs",3,"American Football, Soccer, Basketball, Baseball, Cricket","Manchester United","Natto, Durian","Yes, one or two","No, but I'm totally doing that now",NA,NA
9036,"Cake ","Blue and black","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Walk on stilts","Warmer",14,"Tom Hanks","Yes","iPhone","Cilantro",5,"Baseball","NY Yankees","Snails","Yes, most of them","Yes","Even","Tuesday"
7025,"Lobster","Blue and black","Yes, constantly","Bear","Chocolate","Right-handed","Yes, I believe so","","Cooler",35,"Hugh Jackman","Yes","Android","",4,"","","","Yes, most of them","No, but I'm totally doing that now","Odd","Thursday"
6194,"Sushi","Blue and black","No","Tiger","Chocolate","Right-handed","Yes, I believe so","Ride a horse, Ice skate","Cooler",100,"Tom Hanks","Yes","Android","",5,"American Football","New York Giants","Natto","Yes, one or two","No","Odd","Thursday"
3063,"Sushi","Blue and black","Yes, occasionally","dog","Vanilla","Right-handed","Yes, I believe so","Drive a stick shift, Ski","Cooler",56,"Henry Cavill","Yes","Android","Coffee",5,"Soccer","","Aligator, Thousand-year-old eggs","No","Yes","Odd","Tuesday"
2597,"raw sushi ","White and gold","Yes, occasionally","Leopard","Vanilla","","Yes, I believe so","","Cooler",84,"Keegan-Michael Key","No","Android","Cilantro",5,"","","Thousand-year-old eggs","Yes, one or two","No","Even","Thursday"
405,"Mac and Cheese","Blue and black","Yes, occasionally","Bear","Chocolate","Right-handed","Not 100% sure","Solve a Rubik's cube","Warmer",74,"Zac Efron","Yes","iPhone","Eggs, Tomatoes",3,"","","","Yes, one or two","No","Even","Thursday"
8977,"guacamole","I don't remember","I'm not sure what things you mean","lion","Chocolate","Ambidextrous","Yes, and I have","Solve a Rubik's cube, Juggle","Cooler",50,"Leonardo DiCaprio","Yes","Android","Coffee, Tomatoes",3,"Soccer","FC Barcelona","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
9019,"Sushi","What dress?","Yes, occasionally","Dog","Vanilla","Left-handed","Not 100% sure","Solve a Rubik's cube, Ice skate","Warmer",12,"Charlie Day","Yes","iPhone","Cilantro, Tomatoes",1,"","Miami Heat","","Yes, most of them","No","Even","Tuesday"
5385,"Quesadilla","Blue and black","Yes, occasionally","Goat","Vanilla","Right-handed","Not 100% sure","Juggle, Walk on stilts","Cooler",16,"Michael B Jordan","Yes","iPhone","Tomatoes",4,"American Football, Basketball","New York Giants","Aligator","Yes, one or two","No","Even","Tuesday"
1685,"Pasta","Blue and black","Yes, occasionally","Giraffe","Chocolate","Right-handed","Not 100% sure","","Cooler",78,"Leonardo DiCaprio","Yes","iPhone","Cilantro",3,"","","","Yes, most of them","No","Odd","Thursday"
5482,"Biryani","What dress?","I'm not sure what things you mean","Tiger","Vanilla","Right-handed","Yes, I believe so","Drive a stick shift","Warmer",10,"Daniel Craig","Yes","iPhone","Eggs, Yogurt",2,"Soccer, Cricket","","Durian","Yes, most of them","No","Even","Tuesday"
6319,"lasagna","White and gold","Yes, constantly","Lion","Vanilla","Right-handed","Yes, and I have","Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate","Cooler",91,"Ryan Reynolds","Yes","iPhone","",1,"American Football, Soccer, Basketball, Baseball, Cricket","Liverpool","","No","No","Even","Tuesday"
5212,"Mayo","Blue and black","No","Turtle","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube","Cooler",100,"Tracy Morgan","No","iPhone","Eggs, Cilantro, Coffee, Tomatoes",3,"American Football, Basketball","Eagles and Nets","Aligator","No","No","Even","Thursday"
8766,"tomatos","Blue and black","Yes, occasionally","turtle","Vanilla","Right-handed","Not 100% sure","Ice skate","Cooler",96,"Hrithik Roshan","No","iPhone","Eggs, Cilantro, Tomatoes",4,"Soccer, Cricket","","","Yes, one or two","No, but I'm totally doing that now","Even","Tuesday"
5947,"Sushi","White and gold","Yes, occasionally","Panda","Chocolate","Right-handed","Yes, I believe so","Solve a Rubik's cube, Ski","Cooler",53,"Tom Holland","Yes","iPhone","Eggs, Cilantro, Tomatoes",5,"American Football, Soccer, Basketball, Baseball","St. Louis Cardinals","","Yes, most of them","No, but I'm totally doing that now","Odd","Thursday"
231,"hummus","Blue and black","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball, Solve a Rubik's cube","Cooler",67,"Mila Kunis","No","iPhone","Tomatoes",2,"American Football, Basketball","Giants","","No","No, but I'm totally doing that now","Odd","Thursday"
7326,"Seafood","I don't remember","No","Panda","Vanilla","Right-handed","Yes, I believe so","Ride a horse","Cooler",5,"Jennifer Aniston","Yes","Android","",4,"","","Aligator","No","No","Odd","Tuesday"
680,"PB&J","White and gold","Yes, occasionally","Panda","Chocolate","Right-handed","Not 100% sure","Walk on stilts","Warmer",75,"Brad Pitt","Yes","iPhone","Carbonated drinks, Tomatoes",4,"American Football, Soccer, Basketball","Arsenal","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
839,"I don't know","I don't remember","Yes, constantly","elephant","Vanilla","Right-handed","Yes, I believe so","Ski","Cooler",87,"","No","Android","",4,"","","Snails, Frog legs","No","No","Odd","Thursday"
731,"lasagna","White and gold","Yes, constantly","Lion","Vanilla","Right-handed","Yes, and I have","Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate","Cooler",91,"Ryan Reynolds","Yes","iPhone","",1,"American Football, Soccer, Basketball, Baseball, Cricket","Liverpool","","No","No","Even","Tuesday"
