"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","Activities","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","TasteDislike","FavoriteNumberFrom1to5","FollowSport","FavoriteTeam","TriedFood","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay"
7884,"Sushi","Blue and black","Yes, occasionally","Tiger","Chocolate","Right-handed","Yes, I believe so","Ice skate","Cooler",7,"Adam Sandler","No","iPhone","Eggs",4,"American Football, Basketball","Bulls","","Yes, most of them","No","Even","Tuesday"
3170,"Pizza ","White and gold","I'm not sure what things you mean","Zebra ","Chocolate","Right-handed","Not 100% sure","Ice skate, Ski, Juggle","Cooler",99,"Keanu Reeves","What?","iPhone","",3,"","","","No","No","Odd","Tuesday"
248,"Wasabi ","I don't remember","Yes, occasionally","Penguin","Vanilla","Right-handed","Yes, I believe so","Ice skate, Juggle","Cooler",68,"Jackie Chan","Yes","iPhone","",1,"","","Durian","Yes, one or two","No, but I'm totally doing that now","Odd","Tuesday"
8805,"Clams","Blue and black","I'm not sure what things you mean","Salamander","Chocolate","Right-handed","Not 100% sure","","Cooler",80,"Nicolas Cage","Yes","iPhone","",4,"","","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
8382,"pineapple pizza","Blue and black","Yes, constantly","giraffe","Vanilla","Right-handed","Yes, I believe so","","Cooler",19,"Dwayne Johnson","Yes","iPhone","",3,"American Football, Basketball, Baseball","Yankees","","Yes, one or two","No","Even","Thursday"
5998,"everything with buffalo","What dress?","I'm not sure what things you mean","monkey","Vanilla","Right-handed","A what?","Juggle","Cooler",69,"jackie chen","No","Android","Coffee",5,"Soccer","","Durian","Yes, most of them","No, but I'm totally doing that now","Even","Thursday"
2302,"Pizza","Blue and black","Yes, occasionally","Cows","Vanilla","Right-handed","Not 100% sure","Ice skate, Unicycle","Cooler",31,"Chris Hemsworth","Yes","iPhone","Cilantro",4,"Soccer","","Frog legs, Thousand-year-old eggs","No","No","Odd","Tuesday"
2993,"Pico de gallo","Blue and black","Yes, occasionally","Dolphin ","Vanilla","Right-handed","Not 100% sure","Ice skate, Ski","Cooler",78,"Chris Evans","Yes","iPhone","Tomatoes",4,"American Football, Basketball","Warriors","Durian","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
6325,"Cupcakes","Blue and black","I'm not sure what things you mean","Elephant","Vanilla","Right-handed","Yes, and I have","Dunk a basketball, Ice skate, Ski, Juggle","Warmer",93,"Nicolas Cage","Yes","iPhone","Coffee",5,"American Football, Baseball","New Jersey Devils","Snails, Frog legs","Yes, one or two","No","Odd","Tuesday"
8683,"Pickles","I don't remember","I'm not sure what things you mean","Dog","Chocolate","Right-handed","Yes, I believe so","Ice skate, Ski","Warmer",46,"Robert Downey Jr","No","iPhone","",4,"","","","No","No","Odd","Tuesday"
6339,"mashed potatos","Blue and black","Yes, occasionally","bear","Vanilla","Right-handed","Yes, I believe so","Ice skate, Ski, Walk on stilts","Cooler",20,"Shah Rukh Khan","Yes","iPhone","Carbonated drinks",3,"","","","Yes, most of them","Yes","Odd","Thursday"
5825,"Quesadilla ","Blue and black","Yes, occasionally","Penguin","Vanilla","Right-handed","Not 100% sure","Ride a horse, Solve a Rubik's cube, Ice skate, Ski","Cooler",92,"Leonardo Decaprio","No","iPhone","Cilantro, Tomatoes",3,"Soccer","Redbull","Snails, Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
4614,"strawberries","Blue and black","Yes, occasionally","cat","Vanilla","Right-handed","Yes, and I have","Ice skate","Warmer",29,"Zendaya","Yes","Android","Tomatoes",2,"Soccer","","","Yes, one or two","Yes","Even","Tuesday"
2941,"Sea food. ","A color combination not listed here","I'm not sure what things you mean","Lion ","Chocolate","Right-handed","Not 100% sure","Ice skate, Ski, Juggle, Walk on stilts, Unicycle","Warmer",24,"Al Pacino","Yes","iPhone","Tomatoes",5,"Cricket","India ","","Yes, most of them","No","Even","Tuesday"
1550,"Hawaiian Pizza","Blue and black","Yes, occasionally","Dolphin","Chocolate","Right-handed","Yes, I believe so","Juggle","Warmer",75,"Scarlett Johansson","Yes","iPhone","Tomatoes",3,"Cricket","","Durian","No","Yes","Odd","Thursday"
5452,"salad","Blue and black","I'm not sure what things you mean","Dragon","Vanilla","Right-handed","Not 100% sure","Ice skate, Ski","Cooler",100,"Jeff Goldbloom","No","Android","",3,"American Football, Soccer, Basketball, Baseball","","Snails, Frog legs, Natto, Aligator, Durian","Yes, one or two","No","Odd","Tuesday"
2497,"Lasagna","White and gold","Yes, occasionally","Tiger","Chocolate","Right-handed","Yes, I believe so","Solve a Rubik's cube","Cooler",78,"John Krasinski","Yes","Android","",1,"Basketball","Golden State Warriors","","Yes, most of them","No","Even","Tuesday"
3829,"Onion Rings","I don't remember","I'm not sure what things you mean","Dog","Vanilla","Left-handed","Yes, I believe so","Solve a Rubik's cube, Ice skate, Ski, Walk on stilts","Warmer",98,"Samuel L. Jackson","Yes","iPhone","Tomatoes",3,"American Football","New York Jets","Snails, Frog legs, Aligator","Yes, one or two","No","Even","Tuesday"
7968,"Cake","Blue and black","Yes, occasionally","Sheep","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube","Cooler",20,"Mads Mikkelsen","Yes","Android","Tomatoes",5,"","","Snails, Frog legs, Natto, Durian, Thousand-year-old eggs","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
1222,"Macaroni and cheese","Blue and black","Yes, occasionally","Snake","Chocolate","Right-handed","Yes, I believe so","","Cooler",13,"Anne Hathaway","No","iPhone","",3,"Baseball","NY Yankees","Snails","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday"
999,"burgers","I don't remember","I'm not sure what things you mean","cat","Vanilla","Right-handed","Yes, I believe so","Ice skate","Warmer",3,"Saosire Ronan","Yes","Other smartphone","Eggs, Coffee, Tomatoes, Yogurt",3,"","","","Yes, most of them","No","Odd","Thursday"
250,"Cheese","Blue and black","Yes, constantly","Lion","Chocolate","Right-handed","Not 100% sure","Ice skate","Warmer",78,"Morgan Freeman","Yes","iPhone","Eggs, Yogurt",5,"Soccer","","Natto","Yes, most of them","No","Even","Thursday"
206,"Lobster","Blue and black","Yes, occasionally","Dog","Chocolate","Right-handed","Not 100% sure","Dunk a basketball","Warmer",41,"Brad Pitt","Yes","iPhone","Cilantro",4,"Soccer, Basketball","Lakers","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
6515,"Mac and Cheese","Blue and black","I'm not sure what things you mean","Frog","Vanilla","Right-handed","Yes, and I have","Dunk a basketball, Ice skate","Cooler",1,"Tony stark","No","iPhone","Coffee",1,"Soccer","Wherever CR7 goes ","","Yes, one or two","No","Even","Thursday"
3657,"Sushi","Blue and black","Yes, constantly","Penguin ","Chocolate","Right-handed","Yes, I believe so","","Warmer",58,"Tom Holland ","No","iPhone","Coffee, Yogurt",4,"","Eagles","","No","No","Even","Tuesday"
928,"French Fries dipped in a frosty. idk if that's popular here but it's definitely popular where I'm from.","White and gold","Yes, occasionally","Dog","Vanilla","Left-handed","A what?","","Warmer",79,"Ryan Reynolds","Yes","Android","Tomatoes",4,"","","","Yes, one or two","No","Odd","Thursday"
8857,"Sushi","Blue and black","No","Dog","Vanilla","Left-handed","Yes, I believe so","Dunk a basketball, Ride a horse, Drive a stick shift","Cooler",25,"Denzel Washington","Yes","Android","Coffee",4,"Basketball","Lakers","","Yes, most of them","No","Even","Tuesday"
7453,"Pizza","White and gold","I'm not sure what things you mean","cheetah","Chocolate","Left-handed","Yes, I believe so","Ride a horse, Ice skate","Warmer",57,"Adam Sandler","Yes","iPhone","Cilantro, Tomatoes, Yogurt",5,"American Football","Peoria Mustangs","","Yes, most of them","No","Even","Thursday"
3074,"Sushi","White and gold","Yes, occasionally","Tiger","Vanilla","Right-handed","A what?","Juggle","Cooler",23,"Matthew Mcconaughey","Yes","iPhone","Tomatoes, Yogurt",2,"American Football, Basketball, Baseball","Boston Red Sox","","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday"
9370,"Sushi","Blue and black","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","","Cooler",37,"Brad Pitt","No","iPhone","Cilantro, Tomatoes",4,"American Football, Basketball","Houston Rockets ","","No","No","Even","Thursday"
9092,"None","White and gold","I'm not sure what things you mean","Panda","Vanilla","Right-handed","Not 100% sure","","Cooler",5,"Pedro Pascal","No","iPhone","",5,"American Football, Soccer, Basketball","Arsenal FC","Durian, Thousand-year-old eggs","No","No","Odd","Tuesday"
6012,"Hot dog","What dress?","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Drive a stick shift, Solve a Rubik's cube","Warmer",26,"Dwayne Johnson","No","Android","",4,"Cricket","India","","Yes, most of them","No","Even","Tuesday"
3124,"burgers","White and gold","I'm not sure what things you mean","dog","Vanilla","Left-handed","Yes, I believe so","Ice skate, Ski","Warmer",13,"tom cruise","Yes","iPhone","Cilantro, Coffee, Tomatoes",3,"American Football, Basketball, Baseball","Miami dolphins","","Yes, most of them","No","Odd","Tuesday"
7709,"mint chocolate","Blue and black","Yes, occasionally","panda","Vanilla","Right-handed","Yes, and I have","","Warmer",29,"Simu Liu","Yes","Android","",3,"","T1","","No","No","Odd","Tuesday"
3626,"Macaroni and Cheese","White and gold","Yes, occasionally","Cat","Vanilla","Right-handed","Yes, I believe so","Ice skate","Cooler",78,"Tom Holland","Yes","iPhone","Cilantro, Tomatoes",3,"","","Durian","Yes, one or two","No","Even","Thursday"
5071,"pickles","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Ice skate","Warmer",99,"Michael B. Jordan","Yes","iPhone","Carbonated drinks, Coffee",3,"","","","Yes, most of them","No","Even","Thursday"
2976,"Shrimp cocktail","Blue and black","No","Cat","Chocolate","Right-handed","Not 100% sure","Drive a stick shift, Solve a Rubik's cube, Ice skate","Warmer",12,"Miranda Cosgrove","No","iPhone","Eggs, Tomatoes",2,"","","","No","No","Even","Thursday"
5640,"Pizza","What dress?","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball, Drive a stick shift","Cooler",99,"Tom Hanks","No","iPhone","Carbonated drinks, Coffee",5,"Soccer","","","Yes, one or two","No",NA,NA
5151,"avocado","I don't remember","Yes, occasionally","Cat","Chocolate","Right-handed","Yes, I believe so","Dunk a basketball, Drive a stick shift","Warmer",57,"samuel jackson","Yes","iPhone","Cilantro, Tomatoes",3,"","","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
2605,"Milk","Blue and black","Yes, occasionally","Rabbit","Vanilla","Right-handed","Yes, I believe so","Ride a horse","Cooler",67,"Orlando Bloom","No","iPhone","Tomatoes",3,"","","Durian","Yes, one or two","No","Odd","Thursday"
7673,"Fruit Bowls","White and gold","Yes, constantly","Fox","Chocolate","Right-handed","Yes, I believe so","Drive a stick shift","Warmer",76,"Daniel Craig","Yes","iPhone","Eggs",5,"","","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
812,"Coffee","I don't remember","No","Cow","Vanilla","Right-handed","Yes, I believe so","Ice skate, Ski","Warmer",59,"Scarlett Johansson","No","iPhone","Coffee",5,"","","","No","No","Odd","Tuesday"
5759,"Sushi","Blue and black","Yes, occasionally","Bear","Vanilla","Right-handed","A what?","Juggle","Cooler",7,"Adam Driver","What?","iPhone","",1,"American Football, Soccer","Real Madrid","","Yes, one or two","No","Even","Thursday"
3261,"bacon","What dress?","Yes, occasionally","Panda","Chocolate","Right-handed","Not 100% sure","Ride a horse","Warmer",88,"Shailene Woodley","No","Android","Coffee",5,"Basketball, Cricket","","Aligator","Yes, one or two","No, but I'm totally doing that now","Even","Thursday"
6132,"Banana’s ","Blue and black","Yes, occasionally","Lion","Vanilla","Right-handed","A what?","","Warmer",27,"Robert Downey Jr.","Yes","iPhone","Tomatoes",4,"Soccer, Basketball","Chelsea","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
3903,"Asparagus","Blue and black","Yes, occasionally","dog","Vanilla","Right-handed","Yes, I believe so","Ice skate","Warmer",13,"Adam Sandler","What?","iPhone","Chocolate Ice-cream",4,"American Football, Basketball, Baseball","Yankees","","No","No","Odd","Thursday"
3606,"chocolate","Blue and black","Yes, occasionally","cat","Vanilla","Right-handed","Yes, and I have","Ice skate, Juggle","Cooler",4,"Jack Black","Yes","iPhone","Carbonated drinks, Cilantro, Coffee, Tomatoes, Yogurt",4,"American Football, Soccer, Basketball, Baseball, Cricket","Knicks","","Yes, one or two","No","Odd","Tuesday"
1477,"Quesadilla","Blue and black","Yes, occasionally","Panda","Vanilla","Right-handed","Not 100% sure","Ride a horse, Solve a Rubik's cube, Ice skate, Ski","Cooler",84,"Leonardo Decaprio","No","iPhone","Eggs, Tomatoes",3,"Soccer","redbull racing","Snails, Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
6876,"I like all foods","I don't remember","I'm not sure what things you mean","Dog","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube","Cooler",7,"Benedict Cumberbatch","No","iPhone","",2,"","","Snails, Frog legs, Natto, Durian, Thousand-year-old eggs","No","No","Even","Thursday"
1856,"Sushi","I don't remember","No","Lion","Chocolate","Right-handed","Not 100% sure","","Cooler",11,"Adam Sandler","No","iPhone","Coffee",5,"American Football, Basketball, Baseball","New York Mets","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
4495,"Sushi","Blue and black","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Drive a stick shift","Cooler",32,"Ryan Reynolds","No","Android","",3,"","","","Yes, one or two","No","Odd","Tuesday"
237,"Soup","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Ice skate","Warmer",92,"Robert Pattinson","Yes","Android","Cilantro",4,"","","Snails, Durian, Thousand-year-old eggs","Yes, most of them","No","Even","Thursday"
5004,"chocolate","Blue and black","I'm not sure what things you mean","cat","Chocolate","Right-handed","Not 100% sure","Dunk a basketball, Drive a stick shift, Ice skate","Warmer",67,"tom holland","Yes","Android","Eggs, Tomatoes",3,"Cricket","","","No","Yes","Odd","Tuesday"
9523,"Burrito Bowl","A color combination not listed here","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Solve a Rubik's cube, Ice skate","Cooler",55,"Ryan Reynolds","Yes","iPhone","Eggs, Cilantro, Yogurt",5,"American Football, Basketball","Cleveland Cavaliers","","Yes, most of them","No","Odd","Tuesday"
4523,"Blue cheese","White and gold","Yes, occasionally","Cat","Chocolate","Right-handed","Yes, I believe so","Ride a horse, Ice skate","Cooler",72,"Kristen Stewart","Yes","iPhone","",3,"Basketball","New York Knicks","Snails, Frog legs, Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
5680,"Mushrooms","A color combination not listed here","Yes, occasionally","Cat","Vanilla","Right-handed","Yes, and I have","Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ski","Warmer",42,"Meryl Streep","Yes","iPhone","Cilantro, Coffee",4,"","","Snails, Frog legs, Natto, Aligator","No","No, but I'm totally doing that now",NA,NA
9082,"Burgers","Blue and black","Yes, occasionally","Cat","Vanilla","Right-handed","Not 100% sure","Solve a Rubik's cube, Ice skate","Cooler",78,"Daniel Radcliffe","What?","iPhone","Eggs, Chocolate Ice-cream, Coffee",3,"","","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
3060,"Korean Food","Blue and black","Yes, occasionally","Monkey","Chocolate","Left-handed","Not 100% sure","","Cooler",6,"Chris Hemsworth","Yes","iPhone","Cilantro",4,"","","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
8720,"Burritos","A color combination not listed here","I'm not sure what things you mean","Dog","Vanilla","Right-handed","Yes, I believe so","","Cooler",44,"","No","iPhone","Coffee, Tomatoes",4,"","","Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
8892,"I do not like eating olives. I would pick them out of my pizza.","Blue and black","No","Giraffe","Vanilla","Right-handed","Yes, I believe so","Ice skate, Walk on stilts","Cooler",59,"Johnny Depp","Yes","iPhone","Tomatoes",4,"","","Snails, Frog legs, Natto, Durian","No","No","Odd","Tuesday"
4464,"French fries","I don't remember","Yes, occasionally","horse","Vanilla","Right-handed","Yes, and I have","Ice skate, Ski, Unicycle","Cooler",73,"Margot Robbie","Yes","iPhone","Cilantro",2,"","","Durian","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
4827,"Avacado ","Blue and black","No","Cat","Vanilla","Right-handed","Not 100% sure","Dunk a basketball, Solve a Rubik's cube","Cooler",72,"Leonardo DiCaprio","Yes","Android","",4,"","","Aligator","No","No, but I'm totally doing that now","Odd","Thursday"
3827,"PB&J Sandwiches","White and gold","Yes, occasionally","Panda","Chocolate","Right-handed","Not 100% sure","Walk on stilts","Warmer",75,"Brad Pitt","Yes","iPhone","Carbonated drinks, Tomatoes",4,"American Football, Soccer, Basketball","Arsenal","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
5283,"Tomatoes","Blue and black","Yes, occasionally","Zenra","Vanilla","Right-handed","Not 100% sure","","Cooler",11,"Tom Cruise","Yes","Android","Carbonated drinks, Tomatoes",1,"","","Snails, Frog legs, Natto, Durian, Thousand-year-old eggs","No","No","Even","Tuesday"
2418,"Pineapple Pizza","Blue and black","I'm not sure what things you mean","tiger","Chocolate","Right-handed","Yes, I believe so","Ice skate, Ski","Cooler",75,"Tom Hardy","No","iPhone","",5,"American Football, Basketball","Sixers Patriots","Natto, Durian","No","No","Even","Thursday"
3263,"dumplings ","Blue and black","Yes, occasionally","giraffe ","Vanilla","Left-handed","Not 100% sure","Ice skate","Cooler",7,"Jake Gyllenhaal","Yes","iPhone","Eggs",3,"Basketball","Golden State Warriors ","","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday"
5342,"Avocado","Blue and black","No","Turtle","Chocolate","Right-handed","Yes, I believe so","Solve a Rubik's cube","Warmer",69,"Marilyn Monroe","Yes","iPhone","Tomatoes",4,"American Football, Basketball","Warriors","Snails","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
7486,"Burgers","White and gold","Yes, occasionally","Jellyfish","Vanilla","Right-handed","Yes, and I have","Ride a horse, Solve a Rubik's cube","Warmer",79,"Leonardo DiCaprio","Yes","iPhone","Chocolate Ice-cream, Carbonated drinks",5,"Soccer, Cricket","","Durian","No","No","Odd","Thursday"
1977,"Pies","What dress?","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","Ride a horse, Ice skate","Cooler",50,"Daniel Radcliffe","No","iPhone","Carbonated drinks",3,"","","","No","No","Even","Thursday"
6840,"Apple Pie (pie in general)","Blue and black","Yes, constantly","Cat","Vanilla","Right-handed","Yes, I believe so","Drive a stick shift, Ice skate","Cooler",7,"Chris Hemsworth","Yes","Android","Carbonated drinks, Tomatoes",4,"Soccer","","","Yes, one or two","No, but I'm totally doing that now","Even","Tuesday"
2940,"Bananas","Blue and black","Yes, occasionally","Dolphin","Chocolate","Right-handed","Yes, I believe so","","Cooler",98,"Leonardo Di Caprio","Yes","iPhone","Cilantro, Tomatoes, Yogurt",4,"","","","No","No","Odd","Tuesday"
5118,"Eggplant Parmesan","White and gold","Yes, occasionally","Cow","Chocolate","Right-handed","Yes, I believe so","","Cooler",67,"Audrey Hepburn","Yes","Android","",5,"American Football, Soccer, Cricket","Philadelphia Eagles","Frog legs, Aligator","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday"
5586,"Burgers","White and gold","No","Lion","Chocolate","Left-handed","Yes, I believe so","Solve a Rubik's cube, Ice skate, Ski, Juggle","Cooler",53,"Tom Holland","Yes","Android","Carbonated drinks, Coffee, Tomatoes",5,"Basketball, Cricket","","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday"
9973,"Crêpe","Blue and black","Yes, occasionally","Cat","Chocolate","Right-handed","Yes, I believe so","Ice skate, Ski","Cooler",57,"Johnny Depp","Yes","iPhone","Eggs, Tomatoes",2,"","","","No","No","Even","Thursday"
343,"cheeseburgers","I don't remember","I'm not sure what things you mean","cat","Chocolate","Right-handed","Not 100% sure","Ride a horse, Solve a Rubik's cube, Ice skate, Ski","Cooler",68,"Robert Downey Jr.","Yes","iPhone","",4,"American Football, Soccer, Basketball","","","Yes, one or two","No","Even","Tuesday"
269,"Sushi","White and gold","Yes, constantly","Dog","Chocolate","Right-handed","Yes, I believe so","","Cooler",3,"Leonardo DiCaprio","No","iPhone","",3,"American Football","","","Yes, one or two","No","Odd","Tuesday"
2762,"Buffalo Chicken Wings","What dress?","No","Duck","Chocolate","Left-handed","Not 100% sure","Ice skate, Ski","Cooler",7,"Robert Downey Jr.","Yes","Android","Carbonated drinks, Cilantro, Coffee",4,"American Football, Soccer","Real Madrid","Snails, Frog legs, Durian","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
8563,"Chocolate cake","Blue and black","I'm not sure what things you mean","Cat","Vanilla","Right-handed","Yes, I believe so","Ice skate","Warmer",10,"Angelina Jolie","Yes","iPhone","Carbonated drinks, Coffee",3,"","","","Yes, one or two","No","Odd","Thursday"
9825,"Peanut Butter","Blue and black","Yes, occasionally","Penguin","Chocolate","Right-handed","Yes, I believe so","Ice skate, Ski","Warmer",21,"Leonardo DiCaprio ","Yes","Android","Tomatoes",3,"American Football","Eagles","","Yes, most of them","No, but I'm totally doing that now","Even","Tuesday"
1720,"Burritos","I don't remember","I'm not sure what things you mean","red panda","Chocolate","Right-handed","Yes, I believe so","Juggle","Warmer",77,"Charles Melton","No","iPhone","",3,"American Football","Texas Longhorn Women's Volleyball","Frog legs, Natto, Durian, Thousand-year-old eggs","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
3765,"hot dogs","Blue and black","Yes, occasionally","dog","Vanilla","Right-handed","Yes, and I have","Drive a stick shift, Solve a Rubik's cube","Cooler",97,"Chris Pratt","Yes","iPhone","Cilantro, Coffee",5,"Soccer","","Durian","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
6305,"Guacamole","Blue and black","Yes, occasionally","Fish","Chocolate","Right-handed","Yes, I believe so","Drive a stick shift, Solve a Rubik's cube","Cooler",14,"Dwayne The Rock Johnson","No","iPhone","Tomatoes",5,"American Football","","Frog legs, Natto, Durian, Thousand-year-old eggs","Yes, one or two","No","Even","Tuesday"
